level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1083	1600	-1	
2	1	1	0	0	0	36	55	969	1430	-1	
3	1	1	1	0	0	40	59	965	1426	-1	
4	1	1	1	1	0	456	59	168	9	-1	
5	1	1	1	1	1	456	59	168	9	8.045006	—$$______
4	1	1	1	2	0	36	55	969	54	-1	
5	1	1	1	2	1	36	55	234	54	22.102070	ee
5	1	1	1	2	2	427	55	126	54	0.000000	EXE
5	1	1	1	2	3	566	78	54	21	82.972923	15(A)
5	1	1	1	2	4	634	74	47	34	56.104626	}—
5	1	1	1	2	5	920	90	85	3	28.234482	a
4	1	1	1	3	0	55	105	566	24	-1	
5	1	1	1	3	1	55	114	11	15	55.602501	1.
5	1	1	1	3	2	79	108	76	20	96.726097	Multiple
5	1	1	1	3	3	167	108	63	15	96.946671	Choice
5	1	1	1	3	4	241	109	45	19	92.938408	Type
5	1	1	1	3	5	298	116	3	10	25.049244	:
5	1	1	1	3	6	432	105	79	2	4.152441	a
5	1	1	1	3	7	512	107	109	7	21.013813	pee
4	1	1	1	4	0	78	133	926	33	-1	
5	1	1	1	4	1	78	139	67	17	96.680901	Choose
5	1	1	1	4	2	156	137	26	15	96.538528	the
5	1	1	1	4	3	194	141	64	12	92.493797	correct
5	1	1	1	4	4	270	143	66	13	92.493797	answer
5	1	1	1	4	5	348	142	43	16	96.510773	from
5	1	1	1	4	6	403	144	26	16	96.613792	the
5	1	1	1	4	7	441	147	67	19	94.509583	options
5	1	1	1	4	8	524	123	13	47	85.716843	|
5	1	1	1	4	9	556	133	13	15	54.275242	2:
5	1	1	1	4	10	583	133	15	16	6.747818	I"
5	1	1	1	4	11	612	135	57	16	94.522232	SABC
5	1	1	1	4	12	682	137	30	15	93.179405	and
5	1	1	1	4	13	724	137	57	17	79.004066	ADER,
5	1	1	1	4	14	794	137	30	15	92.788033	ZA
5	1	1	1	4	15	836	143	12	7	92.812027	=
5	1	1	1	4	16	860	137	36	17	85.302956	2D,
5	1	1	1	4	17	910	137	29	15	93.696426	2B
5	1	1	1	4	18	952	143	16	22	95.677719	=
5	1	1	1	4	19	976	136	28	16	5.479088	2B
4	1	1	1	5	0	78	160	925	27	-1	
5	1	1	1	5	1	78	166	46	21	96.965714	given
5	1	1	1	5	2	132	163	56	16	96.121010	below.
5	1	1	1	5	3	582	160	29	15	96.440918	and
5	1	1	1	5	4	623	161	29	15	88.667976	ZC
5	1	1	1	5	5	661	168	11	6	94.089317	=
5	1	1	1	5	6	682	162	29	15	67.034485	ZF,
5	1	1	1	5	7	721	163	44	16	95.473083	Also,
5	1	1	1	5	8	775	163	27	15	96.605286	AL
5	1	1	1	5	9	810	163	30	16	96.605286	and
5	1	1	1	5	10	850	163	33	16	96.963432	DM
5	1	1	1	5	11	893	168	25	10	96.978477	are
5	1	1	1	5	12	928	163	75	15	96.767906	medians.
